Label,Bytes,Starts (JP),Japanese,English,Draft,Notes
Original total,2870,,,,,
Current total,2870,,,,,
SilentLabP1TextString1,182,"text
line

para
line
cont
cont
cont

para
line
cont
cont
cont
cont

para
line
cont
cont
done","パソコンを　みると
なんと　メールが　きていた！

<⋯⋯>　<⋯⋯>　<⋯⋯>
オーキドはかせ！
あなたが　ゆくえふめいに
なっていると　せけんは
おおさわぎ　です！

それは　そうと
はかせ　から　みつけるように
たのまれた　れいの#
みつけるどころか
まだ　てがかりも
つかむことが　できません

やはり　あいつは
かくうの　#なのでは
ないでしょうか<⋯⋯>
<⋯⋯>　<⋯⋯>　<⋯⋯>じょしゅより
","An e-mail is
displayed on
the screen!

...
PROF.OAK!
The world is in
a terrible stir
over your unknown
whereabouts!

As for the #MON
the professor
requested I search
for, I am yet to
find even a single
lead - let alone
deduce its
location.

I suppose that's
to be expected…
After all,
it's high up
in the sky.

Regards,
Your AIDE",,
SilentLabP1TextString2A,32,"text
line
done","スタート　ボタンを　プシュ！
おすと　メニューが　ひらくなり
","Push START to
open the MENU!",,From RG.
SilentLabP1TextString2B,30,"text
line
done","セーブするには　#　レポート
こまめに　かくと　いいなり
","The SAVE option is
on the MENU
screen.",,From RG.
SilentLabP1TextString3,12,"text
done","カギが　かかっている
",It's locked.,,
SilentLabP1TextString4,14,"text
done","オーキド『ごくろうさん！
",OAK: Good work!,,
SilentLabP1TextString5,89,"text
line
cont

para
line

para
line","オーキド『そうとも！
わしが　オーキドじゃ！
じじいで　わるかったな！

おまえたち　ふたりは
この　オーキドが　よんだのじゃ！

すこし　わしの　はなしを
きいては　くれんか？@","OAK: Indeed! I am
PROF.OAK. You've
got quite the
mouth on you!

It is indeed I who
called you here!

Won't you listen
for a while?
",,
SilentLabP1TextString6A,388,"text
line
cont
cont
cont

para
line

para
line
cont
cont
cont

para
line
cont
cont

para
line
cont

para
line
cont
cont

para
line
cont
cont
cont

para
line
cont
done","オーキド『いまから　１ねんまえ
わしは　カントーで
きみたちの　ような　しょうねんに
#の　けんきゅうの　ため
#と　ずかんを　わたした

そして　かれらは
じつに　よくやってくれた！

１５０しゅるいの
#を　みつけることに
せいこう　したのじゃ！
が　<⋯⋯>　<⋯⋯>　<⋯⋯>
しかし　<⋯⋯>　<⋯⋯>

せかいは　ひろいものじゃ
そのご　ぜんこく　かくちで
あたらしい　#が　ぞくぞくと
みつかっておる！

そこで　わしは　カントーから
ここ　サイレントヒルに
けんきゅうの　ばしょを　うつした

ばしょが　かわれば
あたらしい　#にも
であうことが　できるからな
<⋯⋯>　<⋯⋯>　<⋯⋯>　<⋯⋯>

これからも　どんどんと
けんきゅうを　すすめるが
わしも　ごらんのとおりの　おいぼれ
まごや　じょしゅたちも　おるが
それでも　やはり　かずが　たらん！

<PLAYER>！　<RIVAL>！
#けんきゅうの　ために
ちからを　かして　くれんか！
","OAK: One year ago,
in KANTO, I
entrusted two boys
much like you
with a #MON and
a #DEX each,
to assist in
my research.

In the end,
they did an
astounding job!

They succeeded in
discovering 150
species of
#MON!
But… However…

It's a vast world
we live in. After
that, new #MON
started being
found all over
the country!

Therefore, I moved
from KANTO to
here, SILENT HILL,
to establish a new
laboratory!

Because, you see,
in a new place,
new #MON may
well be found.
…


I'll be hard at
work doing
research from
now on, but as you
see, I'm growing
old. My grandson
and AIDEs help,
but aren't quite
enough!

<PLAYER>!
<RIVAL>!
Please help me
research #MON!",,
SilentLabP1TextString6B,91,"text
line
cont

para
line
cont

para
cont
done","オーキド『そうか<⋯⋯>
わしに　ひとを　みるめが
なかったと　いうことじゃな<⋯⋯>

いや！
わしの　ひとを　みるめは
まちがっては　おらんはず！

な？
わしの　はなしを　きいてくれるな？
","OAK: Oh… I suppose
I might not be as
good a judge of
character
as I thought.

…No! It can't be!
I have an eye for
this sort of
thing!

You'll surely
listen, no?",,
SilentLabP1TextString7,29,"text
line
done","オーキド『ふたりとも！
ちょっと　わしに　ついてこい！
","OAK: Follow me,
you two!",,
SilentLabP1TextString8,31,"text
line
cont
done","オーキド『<PLAYER>！<RIVAL>！
このずかんを
おまえたちに　あずける！
","OAK: <PLAYER> and
<RIVAL>! Take
these with you!",,"Almost identical to RG, except with two extra exclamation marks."
SilentLabP1TextString9,23,"text
line
done","<PLAYER>は　オーキドから
#ずかんを　もらった！
","<PLAYER> got
#DEX from OAK!",,From RG.
SilentLabP1TextString10,206,"text
line
cont
cont

para
cont

para
line

para
line
cont

para
line
cont
cont
done","オーキド『この　せかいの　すべての
#を　きろくした
かんぺきな　ずかんを　つくること！
それが　わしの　ゆめ　だった！

しかし　しんしゅの　#は
ぞくぞくと　みつかっている！

わしに　のこされた
じかんは　すくない！

そこで　おまえ　たちには
わしの　かわりに
ゆめを　はたして　ほしいのじゃ！

さあ　ふたりとも
さっそく　しゅっぱつ　してくれい！
これは　#の　れきしに　のこる
いだいな　しごとじゃー！
","OAK: To make a
complete guide on
all the POKéMON
in the world…

That was my dream!

But new #MON
are being found
even as we speak.

I don't have
enough time left
in this world.

So, I want you two
to fulfill my
dream for me!

Get moving, you
two!

This is a great
undertaking in
POKéMON history!",,Edited from RG.
SilentLabP1TextString11A,32,"text
line
cont
done","オーキド『せかい　じゅうの
#たちが
<PLAYER>を　まって　おるぞー
","OAK: POKéMON
around the world
wait for you,
RED!",,From RG.
SilentLabP1TextString11B,125,"text
line
cont

para
cont

para
line
cont
cont

para
line
done","オーキド『おう！　<PLAYER>
どうだ？
わしの　あげた　#は<⋯⋯>？

ほう！
だいぶ　なついた　みたいだな

おまえには　#トレーナーの
さいのうが　あるかもしれん
これからも　ときどきは
わしのところへ　かおを　だせ！

#ずかんの　ぺージが
きに　なるからな
","Oak: <PLAYER>!
How is the #MON
I gave you doing?

Oho! It seems to
have taken a
liking to you.

It looks like you
have a knack for
being a trainer.

I'm interested to
see how your
#DEX develops,
so please come by
and say hello
once in a while!
",,
SilentLabP1TextString12,51,"text
line
cont

para
cont
done","オーキド『よく　きたな！
#ずかんの
ちょうしは　どうかな？

どれ<⋯⋯>　ちょっと
みて　あげようか！
","OAK: Good to see
you! How is your
#DEX coming?

Here, let me take
a look!",,"From RG (probably, I only checked the English script for this one)"
SilentLabP1TextString13,121,"text
line

para
line

para
line

para
line

para
line
cont
cont
done","オーキド『<⋯⋯>　おっほんッ！
よくやったな　<PLAYER>！

ちょっと
わしに　ついて　きなさい！

<RIVAL>は　すまんが
そこで　まっていなさい！

<RIVAL>『えー！
なんだよ　ケチー！

オーキド『<RIVAL>は
でんせつの　#が
ほしかった　だけじゃないのか？
<RIVAL>『ギクッ！
","OAK: …Oho! Well
done, <PLAYER>!

Come with me for
just a moment.

Sorry, <RIVAL>,
but you'll have
to wait there.

<RIVAL>: Whaaat!
C'mon, me too!

OAK: <RIVAL>,
you were just
after the
legendary
#MON, weren't
you?

<RIVAL>: Urk! ",,
SilentLabP1TextString14,55,"text
line
cont
cont
cont
done","<RIVAL>『なんだ
<PLAYER>じゃないか！
おれも　ここが
あやしいと　おもって　きたんだけど
だれも　いないみたいだな<⋯⋯>
","<RIVAL>: Well, if
it isn't <PLAYER>!
I thought this
place looked
suspicious too,
but it looks like
nobody's here… ",,
SilentLabP1TextString15,25,"text
line
done","<RIVAL>『よっしゃあ！
じいさん！　おれにまかせな！
","<RIVAL>: Alright!
Leave it to me,
old man!",,
SilentLabP1TextString16,44,"text
line
cont
done","<RIVAL>『おれが　えらんだ
#のほうが　つよそうだぜ！
こっちに　したかったんじゃないの？
","<RIVAL>: My
#MON looks
stronger!
Sure you didn't
want this one?",,
SilentLabP1TextString17,48,"text
line
cont
cont
cont
done","<RIVAL>『<PLAYER>！
せっかく　じいさんに
#　もらったんだから
<⋯⋯>　ちょっと
たたかわせて　みようぜ！
","<RIVAL>: Hey,
<PLAYER>, since
we just got these
#MON and all…

Let's try 'em out
in a battle!",,
SilentLabP1TextString18,26,"text
line
done","<RIVAL>『くっそー！
こんどは　ぜったい　まけないぞ！
","<RIVAL>: Darn it!
I won't lose
next time!",,
SilentLabP1TextString19,49,"text
line
cont

para
done","<RIVAL>『よーし！
ほかの　#と　たたかわせて
もっと　もっと　つよくしよう！

そんじゃ　ばいばい！
","<RIVAL>: Okay!
I'll make my
#MON fight to
toughen it up!

<PLAYER>! Old man!
See ya later!",,
SilentLabP1TextString20,17,"text
line
done","じいちゃん！
つれてきたよー！
","Gramps!
Look who I found!",,
SilentLabP1TextString21,228,"text
line
cont
cont
cont
cont
cont

para
line
cont
cont
cont

para
line

para
line
cont
cont
done","ぼくは　かつて
#トレーナーの　ちょうてんを
めざしたことが　あるんだ
そのとき　いいきに　なっていた
ぼくの　てんぐのはなを
へしおった　やつに
きみは　どことなく　にている

あいつの　おかげで　ぼくは
こころを　いれかえて
じいさんの　けんきゅうを
てつだうように　なったのさ
<⋯⋯>　<⋯⋯>　<⋯⋯>　<⋯⋯>　<⋯⋯>

さあ！
これが　#ずかんだ！

みつけた　#の　データが
じどうてきに　かきこまれて
ぺージが　ふえて　いく　という
とても　ハイテクな　ずかん　だよ！
","I used to want to
be the world's best
#MON trainer.
When I got too
arrogant, there
was one who showed
me humility.
Somehow… you
remind me of him.

Thanks to him, I
was able to mend
my ways.
Since, I've started
helping my grandpa
with his research.
…
…

Right! This here's
the #DEX!

It automatically
records data on
POKéMON you've
seen or caught!",,
SilentLabP1TextString22,36,"text
line
cont
done","ぼくも　むかし　やったけど
なかなか　たいへんだよ<⋯⋯>
がんばってね！
","I did the same
work you did long
ago, but it's real
hard… Good luck!",,
SilentLabP1TextString23,477,"text
line
cont
cont

para
line

para
cont
cont
cont
cont
cont
cont

para
line

para
line

para
line

para
line
cont
cont
cont
cont

para
line
cont
cont

para
line
cont
cont
cont

para
line
done","ナナミ『さっき　あなたを　
つれてきた　わかい　おとこのこ<⋯⋯>
あれは　わたしの　おとうとなの
<⋯⋯>ということは　つまり

そう！
わたしも　オーキドの　まご　なの！

おじいちゃんは　りっぱな
#けんきゅうしゃよ
わたしは　おてつだい　できることが
とっても　うれしいの！
あっ　こんなこと　しられたら
おじいちゃん　ちょうしに　のるから
ないしょに　しておいてね！

<⋯⋯>おじいちゃん　すっかり
わすれている　みたいだから

わたしが　かわりに　これを　あげる！
さいしんがた　#りュックよ

<PLAYER>は
#りュックを　もらった！

ナナミ『この　りュックには
モンスターボールを
まとめて　いれられる
ボールホルダと
わざマシンを　まとめて　いれられる
わざマシンホルダが　ついているの

モンスターボール　６こと　
わざマシンひとつは　オマケしておくわ
ホルダに　なんにも　はいってないと
さびしいもんね！

ねえ　<PLAYER>くン
あなたの　おかあさんが
しんぱいすると　いけないから
このまちを　でるまえに
かおを　みせに　いってあげてね

<⋯⋯>あなたの　かつやく
いのっているわ
","DAISY: The young
boy who brought
you here… That's
my little brother.
In other words…

I'm PROF.OAK's
granddaughter!

Grandpa's a
fantastic
researcher! I'm so
happy I get to
help out. Oh, but
grandpa would get
full of himself
if he heard that,
so don't tell him!

…Grandpa seems to
have completely
forgotten, so…

I guess I'll give
this to you! It's
the newest model
of #PACK!

<PLAYER> received
a #PACK!

DAISY: This PACK
comes with a BALL
HOLDER for #
BALLs, and a TM
HOLDER for TMs!

I'll throw in six
# BALLs and a TM
as a freebie!

<PLAYER>, we can't
have your mother
worrying, so
before you leave
town, make sure
to say goodbye.

I'll be rooting
for you!",,
SilentLabP1TextString24,19,"text
line
done","<⋯⋯>あなたの　かつやく
いのってるわ
","I'll be rooting
for you!",,
SilentLabP1TextString25,83,"text
line

para
line

para
line
cont
done","わたしは
はかせの　じょしゅ　です

わたしは　もちろん
はかせを　ソンケー　しております

あなた　とは　また　どこかで
おあい　することに
なるような　きがします
","I am one of PROF.
OAK's AIDEs.

Of course,
I respect the
professor greatly.

I have a feeling
that we'll see
each other again.
",,
SilentLabP1TextString26,83,"text
line

para
line

para
line
cont
done","わたしは
はかせの　じょしゅ　です

わたしは　もちろん
はかせを　ソンケー　しております

あなた　とは　また　どこかで
おあい　することに
なるような　きがします
","I am one of PROF.
OAK's AIDEs.

Of course,
I respect the
professor greatly.

I have a feeling
that we'll see
each other again.
",,
SilentLabP1TextString27,21,"text
line
done","なんだろう？
でんし　てちょう　かな？
","What's this…?
Some sort of PDA?",,
SilentLabP1TextString28,66,"text
line

para
line
cont
done","<RIVAL>『あのメールを　くれた
オーキドって　こんな　じじい<⋯⋯>

あっ　ゴメン
こんな　じいさん　なのか？
ほんもの　はじめて　みたよ！
","<RIVAL>: I can't
believe this old
geezer is
PROF.OAK…

Oh, sorry, I mean…
""old man""? It's
the first time I
see him in person!",,
SilentLabP1TextString29,25,"text
line
cont
done","<RIVAL>『<PLAYER>！
なんだか
おもしろく　なってきたな！
","<RIVAL>: Hey
<PLAYER>!
This just got
interesting!",,
SilentLabP1TextString30,56,"text
line

para
line
cont
done","わたしは
はかせの　じょしゅ　です

あなた　とは　また　どこかで
おあい　することに
なるような　きがします
","I'm one of PROF.
OAK's AIDEs.

I have a feeling
that we'll see
each other again.",,
SilentLabP1TextString31,56,"text
line

para
line
cont
done","わたしは
はかせの　じょしゅ　です

あなた　とは　また　どこかで
おあい　することに
なるような　きがします
","I'm one of PROF.
OAK's AIDEs.

I have a feeling
that we'll see
each other again.",,